date,value,indicator_name,country,indicator
2000-01-01,3.8361911218613387,PCPI,PAK,consumer_price_index
2001-01-01,4.808454867266119,PCPI,PAK,consumer_price_index
2002-01-01,5.298506000265479,PCPI,PAK,consumer_price_index
2003-01-01,1.5306011443957686,PCPI,PAK,consumer_price_index
2004-01-01,10.438978194259107,PCPI,PAK,consumer_price_index
2005-01-01,6.789767275936901,PCPI,PAK,consumer_price_index
2006-01-01,3.48767675627023,PCPI,PAK,consumer_price_index
2007-01-01,8.731070199701936,PCPI,PAK,consumer_price_index
2008-01-01,10.483064313046635,PCPI,PAK,consumer_price_index
2009-01-01,5.076984084676951,PCPI,PAK,consumer_price_index
2010-01-01,3.8243198780342937,PCPI,PAK,consumer_price_index
2011-01-01,8.442322815582155,PCPI,PAK,consumer_price_index
2012-01-01,6.250771280564368,PCPI,PAK,consumer_price_index
2013-01-01,11.328720993921161,PCPI,PAK,consumer_price_index
2014-01-01,2.072333778254688,PCPI,PAK,consumer_price_index
2015-01-01,7.983367504458874,PCPI,PAK,consumer_price_index
2016-01-01,1.7844360305927693,PCPI,PAK,consumer_price_index
2017-01-01,10.447126788273454,PCPI,PAK,consumer_price_index
2018-01-01,5.785436190757901,PCPI,PAK,consumer_price_index
2019-01-01,6.1412732866592705,PCPI,PAK,consumer_price_index
2020-01-01,8.984662804659456,PCPI,PAK,consumer_price_index
2021-01-01,4.891564066335559,PCPI,PAK,consumer_price_index
2022-01-01,5.052565408591181,PCPI,PAK,consumer_price_index
2023-01-01,8.510980068333447,PCPI,PAK,consumer_price_index
2024-01-01,9.721603018697351,PCPI,PAK,consumer_price_index
2025-01-01,5.267552141938358,PCPI,PAK,consumer_price_index
